key,parameter_code,process_code,flow_code,source_region_code,target_country_code,value,unit,source
"CALOR,,CH3OH-L,,",CALOR,,CH3OH-L,,,5.527777777777777,kWh CH3OH (l)/kg,Wikipedia with conversions
"CALOR,,CH4-G,,",CALOR,,CH4-G,,,13.5,kWh CH4 (g)/kg,Wikipedia with conversions
"CALOR,,CH4-L,,",CALOR,,CH4-L,,,13.5,kWh CH4 (l)/kg,Wikipedia with conversions
"CALOR,,CHX-L,,",CALOR,,CHX-L,,,11.944444444444445,kwh CHx (l)/kg,Wikipedia with conversions
"CALOR,,DRI-S,,",CALOR,,DRI-S,,,1.0,kg DRI (s)/kg,no conversion necessary
"CALOR,,H2-G,,",CALOR,,H2-G,,,33.33,kWh H2 (g)/kg,Linde
"CALOR,,H2-L,,",CALOR,,H2-L,,,33.33,kWh H2 (l)/kg,Linde
"CALOR,,LOHC-L,,",CALOR,,LOHC-L,,,33.33,kWh H2 (l)/kg,Linde
"CALOR,,NH3-L,,",CALOR,,NH3-L,,,5.199999999999999,kWh NH3 (l)/kg,Wikipedia with conversions
"CAPEX,AEL-EL,,,",CAPEX,AEL-EL,,,,887.8010615398895,USD2025/kW,
"CAPEX,ATR,,,",CAPEX,ATR,,,,922.1819811670733,USD2025/kW,Oni et al. 2022
"CAPEX,ATR_91%#B,,,",CAPEX,ATR_91%#B,,,,1342.1386051792956,USD2025/kw,based on IEA GHG 2022
"CAPEX,CCGT-CC#B,,,",CAPEX,CCGT-CC#B,,,,2860.930562319551,USD2025/kWel,
"CAPEX,CH3OHSYC#B,,,",CAPEX,CH3OHSYC#B,,,,463.4382349530334,USD2025/kW,Concawe 2024
"CAPEX,CH3OHSYN#B,,,",CAPEX,CH3OHSYN#B,,,,811.2066086836701,USD2025/kW,Concawe 2024
"CAPEX,CH3OHSYN,,,",CAPEX,CH3OHSYN,,,,736.3700421791167,USD2025/kWh CH3OH (l),Öko-Institut 2020
"CAPEX,CH4-COMP,,,",CAPEX,CH4-COMP,,,,130.67901682549225,USD2025/kW,DNV GL 2020
"CAPEX,CH4-LIQ,,,",CAPEX,CH4-LIQ,,,,522.7124948848879,USD2025/kW,Hank et al. 2020
"CAPEX,CH4SYN,,,",CAPEX,CH4SYN,,,,771.1044781309616,USD2025/kW,Öko-Institut 2020
"CAPEX,DAC#B,,,",CAPEX,DAC#B,,,,0.32808185368264475,USD2025/ kg CO2 (g)*a,Fasihi et al. 2019
"CAPEX,DAC,,,",CAPEX,DAC,,,,0.3468346735031329,USD2025/ kg CO2 (g)*a,Fasihi et al. 2019
"CAPEX,DESAL,,,",CAPEX,DESAL,,,,0.002811672417679557,USD2025/l*a,Fraunhofer IEE
"CAPEX,DRI#B,,,",CAPEX,DRI#B,,,,0.5554859537680888,USD2025/kg DRI (s)/a*h,Agora KNDE
"CAPEX,DRI,,,",CAPEX,DRI,,,,4686.978069241316,USD2025/kg DRI (s)/a*h,"Agora Industry, Wuppertal Institute and Lund University (2024)"
"CAPEX,DRI-rotary#B,,,",CAPEX,DRI-rotary#B,,,,0.11307223765039154,USD2025/kg DRI (s)/a*h,
"CAPEX,EAF#B,,,",CAPEX,EAF#B,,,,0.41138959744408954,USD2025/kg (CS)/a,Agora KNDE
